"Entity ID","Common Name","Scientific Name","Where Listed","Species Group","FWS Lead Region","ESA Listing Status","Critical Habitat Type","Federal Register Publication","Critical Habitat Shapefile","tsn","Acres and Miles"
"27","Bat, Virginia big-eared","Corynorhinus (=Plecotus) townsendii virginianus","Wherever found","Mammals","Region 5","Endangered","Final","Federal Register (1979-11-30)","Download","203454","1150.2 acres"
"28","Vole, Amargosa","Microtus californicus scirpensis","Wherever found","Mammals","Region 8","Endangered","Final","Federal Register (1984-11-15)","Download","202375","4491.8 acres"
"29","Rice rat, Silver","Oryzomys palustris natator","lower FL Keys","Mammals","Region 4","Endangered","Final","Federal Register (1993-08-31)","Download","202379","9924.6 acres"
"31","Mouse, Key Largo cotton","Peromyscus gossypinus allapaticola","Wherever found","Mammals","Region 4","Endangered","Proposed","Federal Register (1984-02-09)","","202365",""
"33","Caribou DPS, Southern Mountain","Rangifer tarandus ssp. caribou","Southern Mountain DPS","Mammals","Region 1","Endangered","Final","Federal Register (2012-11-28)","Download","202411","29578.9 acres"
"34","Mouse, Choctawhatchee beach","Peromyscus polionotus allophrys","Wherever found","Mammals","Region 4","Endangered","Final","Federal Register (2006-10-12)","Download","202369","2396.1 acres"
"35","Mouse, Perdido Key beach","Peromyscus polionotus trissyllepsis","Wherever found","Mammals","Region 4","Endangered","Final","Federal Register (2006-10-12)","Download","202370","1237.6 acres"
"37","Kangaroo rat, Fresno","Dipodomys nitratoides exilis","Wherever found","Mammals","Region 8","Endangered","Final","Federal Register (1985-01-30)","Download","202362","911.7 acres"
"41","Mouse, Alabama beach","Peromyscus polionotus ammobates","Wherever found","Mammals","Region 4","Endangered","Final","Federal Register (2007-01-30)","Download","202367","865.7 acres"
"43","Squirrel, Mount Graham red","Tamiasciurus fremonti grahamensis","Wherever found","Mammals","Region 2","Endangered","Final","Federal Register (1990-01-05)","Download","202353","1854.0 acres"
"52","Mouse, Preble's meadow jumping","Zapus hudsonius preblei","wherever found","Mammals","Region 6","Threatened","Final","Federal Register (2010-12-15)","Download","609781","33650.4 acres; 393.3 miles"
"54","Mouse, St. Andrew beach","Peromyscus polionotus peninsularis","Wherever found","Mammals","Region 4","Endangered","Final","Federal Register (2006-10-12)","Download","203502","2137.4 acres"
"56","Sheep, Peninsular bighorn","Ovis canadensis nelsoni","Peninsular CA pop.","Mammals","Region 8","Endangered","Final","Federal Register (2009-04-14)","Download","898805","376082.6 acres"
"57","Sheep, Sierra Nevada bighorn","Ovis canadensis sierrae","Sierra Nevada","Mammals","Region 8","Endangered","Final","Federal Register (2008-08-05)","Download","898931","417684.8 acres"
"58","Shrew, Buena Vista Lake ornate","Sorex ornatus relictus","Wherever found","Mammals","Region 8","Endangered","Final","Federal Register (2013-07-02)","Download","633864","2426.7 acres"
"63","Kangaroo rat, San Bernardino Merriam's","Dipodomys merriami parvus","Wherever found","Mammals","Region 8","Endangered","Final","Federal Register (2002-04-23)","Download","625244","33350.7 acres"
"66","Condor, California","Gymnogyps californianus","Wherever found, except where listed as an experimental population","Birds","Region 8","Endangered","Final","Federal Register (1977-09-22)","Download","175274","604322.1 acres"
"67","Crane, whooping","Grus americana","Wherever found, except where listed as an experimental population","Birds","Region 2","Endangered","Final","Federal Register (1978-05-15)","Download","176176","371927.9 acres"
"74","`Akohekohe (crested honeycreeper)","Palmeria dolei","Wherever found","Birds","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","179587","108858.3 acres"
"79","Palila (honeycreeper)","Loxioides bailleui","Wherever found","Birds","Region 1","Endangered","Final","Federal Register (1977-09-22)","Download","179578","60293.7 acres"
"81","parrotbill, Maui (Kiwikiu)","Pseudonestor xanthophrys","Wherever found","Birds","Region 1","Endangered","Final","Federal Register (2016-03-30)","Download","179593","108858.3 acres"
"85","Sparrow, Cape Sable seaside","Ammospiza maritima mirabilis","Wherever found","Birds","Region 4","Endangered","Final","Federal Register (2007-11-06)","Download","202311","84165.7 acres"
"110","Crane, Mississippi sandhill","Antigone canadensis pulla","Wherever found","Birds","Region 4","Endangered","Final","Federal Register (1977-08-08)","Download","202247","26484.7 acres"
"117","Blackbird, yellow-shouldered","Agelaius xanthomus","Wherever found","Birds","Region 4","Endangered","Final","Federal Register (1977-09-22)","Download","179062","65518.4 acres"
"118","Crow, Mariana (=aga)","Corvus kubaryi","Wherever found","Birds","Region 1","Endangered","Final","Federal Register (2004-10-28)","Download","179744","6373.0 acres"
"119","Kingfisher, Guam","Todiramphus cinnamominus","Wherever found","Birds","Region 1","Endangered","Final","Federal Register (2004-10-28)","Download","692702","340.2 acres"
"123","Vireo, least Bell's","Vireo bellii pusillus","Wherever found","Birds","Region 8","Endangered","Final","Federal Register (1994-02-02)","Download","179007","37066.0 acres"
"129","Owl, Mexican spotted","Strix occidentalis lucida","Wherever found","Birds","Region 2","Threatened","Final","Federal Register (2004-08-31)","Download","177928","9874150.8 acres"
"130","Plover, piping","Charadrius melodus","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","Birds","Region 3","Endangered","Final","Federal Register (2001-05-07)","Download","176507","43720.9 acres"
"131","Plover, piping","Charadrius melodus","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","Birds","Region 5","Threatened","Final","Federal Register (2009-05-19)","Download","176507","1387693.4 acres"
"132","Plover, Western Snowy","Charadrius nivosus nivosus","Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)","Birds","Region 8","Threatened","Final","Federal Register (2012-06-19)","Download","824565","24871.3 acres"
"137","Towhee, Inyo California","Melozone crissalis eremophilus","Wherever found","Birds","Region 8","Threatened","Final","Federal Register (1987-08-03)","Download","202309","1921.6 acres"
"142","Owl, northern spotted","Strix occidentalis caurina","Wherever found","Birds","Region 1","Threatened","Final","Federal Register (2021-11-10)","Download","177926","9370886.3 acres"
"143","Murrelet, Marbled","Brachyramphus marmoratus","U.S.A. (CA, OR, WA)","Birds","Region 1","Threatened","Final","Federal Register (2016-08-04)","Download","176996","3694906.9 acres"
"145","Gnatcatcher, coastal California","Polioptila californica californica","Wherever found","Birds","Region 8","Threatened","Final","Federal Register (2007-12-19)","Download","925072","197271.2 acres"
"146","Eider, spectacled","Somateria fischeri","Wherever found","Birds","Region 7","Threatened","Final","Federal Register (2001-02-06)","Download","175161","24926667.2 acres"
"147","Eider, Steller's","Polysticta stelleri","AK breeding pop.","Birds","Region 7","Threatened","Final","Federal Register (2001-02-02)","Download","175153","1819463.2 acres"
"149","Flycatcher, southwestern willow","Empidonax traillii extimus","Wherever found","Birds","Region 2","Endangered","Final","Federal Register (2013-01-03)","Download","712529","209648.2 acres"
"150","elepaio, Oahu","Chasiempis ibidis","Wherever found","Birds","Region 1","Endangered","Final","Federal Register (2001-12-10)","Download","916280","65898.6 acres"
"153","Sea turtle, hawksbill","Eretmochelys imbricata","Wherever found","Reptiles","Region 4","Endangered","Final","Federal Register (1998-09-02)","Download","173836","74435.0 acres"
"154","Sea turtle, leatherback","Dermochelys coriacea","Wherever found","Reptiles","Region 4","Endangered","Final","Federal Register (1979-03-23)","Download","173843","211.8 acres"
"155","Sea turtle, Kemp's ridley","Lepidochelys kempii","Wherever found","Reptiles","Region 2","Endangered","Proposed","Federal Register (1978-11-29)","","551770",""
"162","Anole, Culebra Island giant","Anolis roosevelti","Wherever found","Reptiles","Region 4","Endangered","Final","Federal Register (1977-09-22)","Download","202133","999.3 acres"
"163","Lizard, St. Croix ground","Ameiva polops","Wherever found","Reptiles","Region 4","Endangered","Final","Federal Register (1977-09-22)","Download","174030","21.0 acres"
"164","Boa, Mona","Epicrates monensis monensis","Wherever found","Reptiles","Region 4","Threatened","Final","Federal Register (1978-02-03)","Download","202182","13973.2 acres"
"165","Iguana, Mona ground","Cyclura stejnegeri","Wherever found","Reptiles","Region 4","Threatened","Final","Federal Register (1978-02-03)","Download","202150","13973.2 acres"
"166","Rattlesnake, New Mexican ridge-nosed","Crotalus willardi obscurus","Wherever found","Reptiles","Region 2","Threatened","Final","Federal Register (1978-08-04)","Download","202178","2918.6 acres"
"170","Turtle, Plymouth Redbelly","Pseudemys rubriventris bangsi","Wherever found","Reptiles","Region 5","Endangered","Final","Federal Register (1980-04-02)","Download","202090","3849.8 acres"
"175","Lizard, Coachella Valley fringe-toed","Uma inornata","Wherever found","Reptiles","Region 8","Threatened","Final","Federal Register (1980-09-25)","Download","173948","11800.1 acres"
"176","Crocodile, American","Crocodylus acutus","U.S.A. (FL)","Reptiles","Region 4","Threatened","Final","Federal Register (1977-09-22)","Download","174361","781696.5 acres"
"183","Whipsnake (=striped racer), Alameda","Masticophis lateralis euryxanthus","Wherever found","Reptiles","Region 8","Threatened","Final","Federal Register (2006-10-02)","Download","209331","155857.9 acres"
"185","Tortoise, desert","Gopherus agassizii","Wherever found, except AZ south and east of Colorado R., and Mexico","Reptiles","Region 8","Threatened","Final","Federal Register (1994-02-08)","Download","173856","6454134.0 acres"
"188","Salamander, Santa Cruz long-toed","Ambystoma macrodactylum croceum","Wherever found","Amphibians","Region 8","Endangered","Proposed","Federal Register (1978-06-22)","","195693",""
"190","Toad, Houston","Bufo houstonensis","Wherever found","Amphibians","Region 2","Endangered","Final","Federal Register (1978-01-31)","Download","173488","84166.4 acres"
"193","Coqui, golden","Eleutherodactylus jasperi","Wherever found","Amphibians","Region 4","Threatened","Final","Federal Register (1977-11-11)","Download","173563","329.0 acres"
"194","Salamander, San Marcos","Eurycea nana","Wherever found","Amphibians","Region 2","Threatened","Final","Federal Register (1980-07-14)","Download","173693","18.5 acres"
"196","Guajon","Eleutherodactylus cooki","Wherever found","Amphibians","Region 4","Threatened","Final","Federal Register (2007-10-23)","Download","173558","170.3 acres"
"199","Salamander, frosted flatwoods","Ambystoma cingulatum","Wherever found","Amphibians","Region 4","Threatened","Final","Federal Register (2009-02-10)","Download","173596","21380.3 acres"
"203","Salamander, California tiger","Ambystoma californiense","U.S.A. (CA - Sonoma County)","Amphibians","Region 8","Endangered","Final","Federal Register (2011-08-31)","Download","173595","47267.5 acres"
"204","Toad, arroyo (=arroyo southwestern)","Anaxyrus californicus","Wherever found","Amphibians","Region 8","Endangered","Final","Federal Register (2011-02-09)","Download","773514","98556.0 acres"
"205","Frog, California red-legged","Rana draytonii","Wherever found","Amphibians","Region 8","Threatened","Final","Federal Register (2010-03-17)","Download","207009","1641246.1 acres"
"206","Frog, Chiricahua leopard","Rana chiricahuensis","Wherever found","Amphibians","Region 2","Threatened","Final","Federal Register (2012-03-20)","Download","173451","1513.2 acres; 185.6 miles"
"207","Frog, mountain yellow-legged","Rana muscosa","Southern California DPS","Amphibians","Region 8","Endangered","Final","Federal Register (2006-09-14)","Download","173454","7954.3 acres"
"208","Frog, dusky gopher","Rana sevosa","Wherever found","Amphibians","Region 4","Endangered","Final","Federal Register (2012-06-12)","Download","665414","4056.5 acres"
"209","Chub, humpback","Gila cypha","Wherever found","Fishes","Region 6","Threatened","Final","Federal Register (1994-03-21)","Download","163551","13754.3 acres"
"212","Darter, Maryland","Etheostoma sellare","Wherever found","Fishes","Region 5","Endangered","Final","Federal Register (1984-08-29)","Download","168361","28.3 acres"
"215","pikeminnow, Colorado","Ptychocheilus lucius","Wherever found, except where listed as an experimental population","Fishes","Region 6","Endangered","Final","Federal Register (1994-03-21)","Download","163525","65546.2 acres"
"228","Darter, fountain","Etheostoma fonticola","Wherever found","Fishes","Region 2","Endangered","Final","Federal Register (1980-07-14)","Download","168395","126.4 acres"
"232","Stickleback, unarmored threespine","Gasterosteus aculeatus williamsoni","Wherever found","Fishes","Region 8","Endangered","Not Prudent","Federal Register (2002-09-17)","","201979",""
"234","Woundfin","Plagopterus argentissimus","Wherever found, except where listed as an experimental population","Fishes","Region 6","Endangered","Final","Federal Register (2000-01-26)","Download","163600","2973.1 acres"
"236","Cavefish, Alabama","Speoplatyrhinus poulsoni","Wherever found","Fishes","Region 4","Endangered","Final","Federal Register (1977-09-09)","Download","164397","0.1 acres"
"237","Chub, spotfin","Erimonax monachus","Wherever found, except where listed as an experimental population","Fishes","Region 4","Threatened","Final","Federal Register (1977-09-22)","Download","689041","4287.1 acres"
"238","Darter, leopard","Percina pantherina","Wherever found","Fishes","Region 2","Threatened","Final","Federal Register (1978-01-27)","Download","168493","2618.3 acres"
"239","Darter, slackwater","Etheostoma boschungi","Wherever found","Fishes","Region 4","Threatened","Final","Federal Register (1977-09-22)","Download","168377","829.3 acres"
"241","Sculpin, pygmy","Cottus paulus (=pygmaeus)","Wherever found","Fishes","Region 4","Threatened","Proposed","Federal Register (1979-07-27)","","643940",""
"242","Shiner, Cape Fear","Notropis mekistocholas","Wherever found","Fishes","Region 4","Endangered","Final","Federal Register (1987-09-25)","Download","163455","262.5 acres"
"243","Silverside, Waccamaw","Menidia extensa","Wherever found","Fishes","Region 4","Threatened","Final","Federal Register (1987-04-08)","Download","165997","8681.0 acres"
"246","Chub, slender","Erimystax cahni","Wherever found","Fishes","Region 4","Threatened","Final","Federal Register (1977-09-22)","Download","163820","4161.9 acres"
"247","Madtom, yellowfin","Noturus flavipinnis","Wherever found, except where listed as an experimental population","Fishes","Region 4","Threatened","Final","Federal Register (1977-09-22)","Download","164012","1899.8 acres"
"248","Trout, Little Kern golden","Oncorhynchus aguabonita whitei","Wherever found","Fishes","Region 8","Threatened","Final","Federal Register (1978-04-13)","Download","914092","82421.9 acres"
"249","Bonytail","Gila elegans","Wherever found","Fishes","Region 6","Endangered","Final","Federal Register (1994-03-21)","Download","163553","58213.7 acres"
"251","Pupfish, Leon Springs","Cyprinodon bovinus","Wherever found","Fishes","Region 2","Endangered","Final","Federal Register (1980-08-15)","Download","165632","27.8 acres"
"252","Sturgeon, Alabama","Scaphirhynchus suttkusi","Wherever found","Fishes","Region 4","Endangered","Final","Federal Register (2009-06-02)","Download","201895","20807.2 acres; 316.1 miles"
"254","Chub, Chihuahua","Gila nigrescens","Wherever found","Fishes","Region 2","Threatened","Proposed","Federal Register (1980-12-15)","","163554",""
"255","Chub, Sonora","Gila ditaenia","Wherever found","Fishes","Region 2","Threatened","Final","Federal Register (1986-04-30)","Download","163552","70.9 acres"
"256","Chub, Virgin River","Gila seminuda (=robusta)","Wherever found","Fishes","Region 6","Endangered","Final","Federal Register (2000-01-26)","Download","553395","2973.1 acres"
"257","Darter, Niangua","Etheostoma nianguae","Wherever found","Fishes","Region 3","Threatened","Final","Federal Register (1985-06-12)","Download","168414","1290.5 acres"
"258","Madtom, smoky","Noturus baileyi","Wherever found","Fishes","Region 4","Endangered","Final","Federal Register (1984-10-26)","Download","164007","74.8 acres"
"259","Catfish, Yaqui","Ictalurus pricei","Wherever found","Fishes","Region 2","Threatened","Final","Federal Register (1984-08-31)","Download","164000","19.5 acres"
"262","Chub, Owens Tui","Gila bicolor ssp. snyderi","Wherever found","Fishes","Region 8","Endangered","Final","Federal Register (1985-08-05)","Download","201920","114.3 acres"
"263","Chub, Yaqui","Gila purpurea","Wherever found","Fishes","Region 2","Endangered","Final","Federal Register (1984-08-31)","Download","163557","19.5 acres"
"264","Dace, Ash Meadows speckled","Rhinichthys osculus nevadensis","Wherever found","Fishes","Region 8","Endangered","Final","Federal Register (1983-09-02)","Download","201906","64.7 acres"
"266","Dace, desert","Eremichthys acros","Wherever found","Fishes","Region 8","Threatened","Final","Federal Register (1985-12-10)","Download","163540","2494.6 acres"
"272","Minnow, Devils River","Dionda diaboli","Wherever found","Fishes","Region 2","Threatened","Final","Federal Register (2008-08-12)","Download","163514","141.3 acres"
"273","Minnow, loach","Tiaroga cobitis","Wherever found","Fishes","Region 2","Endangered","Final","Federal Register (2012-02-23)","Download","163389","48406.4 acres; 559.3 miles"
"274","Pupfish, Ash Meadows Amargosa","Cyprinodon nevadensis mionectes","Wherever found","Fishes","Region 8","Endangered","Final","Federal Register (1983-09-02)","Download","201970","134.5 acres"
"275","Pupfish, desert","Cyprinodon macularius","Wherever found","Fishes","Region 2","Endangered","Final","Federal Register (1986-03-31)","Download","165637","778.4 acres"
"276","Shiner, beautiful","Cyprinella formosa","Wherever found","Fishes","Region 2","Threatened","Final","Federal Register (1984-08-31)","Download","163780","19.5 acres"
"277","Shiner, Cahaba","Notropis cahabae","Wherever found","Fishes","Region 4","Endangered","Proposed","Federal Register (1977-11-29)","","163480",""
"279","Shiner, Pecos bluntnose","Notropis simus pecosensis","Wherever found","Fishes","Region 2","Threatened","Final","Federal Register (1987-02-20)","Download","201913","2379.6 acres"
"280","Spinedace, Big Spring","Lepidomeda mollispinis pratensis","Wherever found","Fishes","Region 8","Threatened","Final","Federal Register (1985-03-28)","Download","201925","36.2 acres"
"281","Spinedace, Little Colorado","Lepidomeda vittata","Wherever found","Fishes","Region 2","Threatened","Final","Federal Register (1987-09-16)","Download","163574","200.2 acres"
"282","Spinedace, White River","Lepidomeda albivallis","Wherever found","Fishes","Region 8","Endangered","Final","Federal Register (1985-09-12)","Download","163571","17.6 acres"
"283","Springfish, Hiko White River","Crenichthys baileyi grandis","Wherever found","Fishes","Region 8","Endangered","Final","Federal Register (1985-09-27)","Download","201976","22.4 acres"
"284","Springfish, Railroad Valley","Crenichthys nevadae","Wherever found","Fishes","Region 8","Threatened","Final","Federal Register (1986-03-31)","Download","165688","474.6 acres"
"285","Springfish, White River","Crenichthys baileyi baileyi","Wherever found","Fishes","Region 8","Endangered","Final","Federal Register (1985-09-27)","Download","201975","6.7 acres"
"286","Sturgeon, Gulf","Acipenser oxyrinchus (=oxyrhynchus) desotoi","Wherever found","Fishes","Region 4","Threatened","Final","Federal Register (2003-03-19)","Download","624005","1560336.1 acres; 1696.0 miles"
"287","Sucker, June","Chasmistes liorus","Wherever found","Fishes","Region 6","Threatened","Final","Federal Register (1986-03-31)","Download","163963","99.1 acres"
"290","Sucker, razorback","Xyrauchen texanus","Wherever found","Fishes","Region 6","Endangered","Final","Federal Register (1994-03-21)","Download","163968","285427.4 acres"
"292","Sucker, Warner","Catostomus warnerensis","Wherever found","Fishes","Region 1","Threatened","Final","Federal Register (1985-09-27)","Download","163915","876.4 acres; 56.8 miles"
"293","Darter, amber","Percina antesella","Wherever found","Fishes","Region 4","Endangered","Final","Federal Register (1985-08-05)","Download","168476","395.9 acres"
"294","Logperch, Conasauga","Percina jenkinsi","Wherever found","Fishes","Region 4","Endangered","Final","Federal Register (1985-08-05)","Download","168502","178.6 acres"
"296","Spikedace","Meda fulgida","Wherever found","Fishes","Region 2","Endangered","Final","Federal Register (2012-02-23)","Download","163583","51794.3 acres; 581.1 miles"
"298","Darter, goldline","Percina aurolineata","Wherever found","Fishes","Region 4","Threatened","Proposed","Federal Register (1977-11-29)","","168478",""
"299","Shiner, Arkansas River","Notropis girardi","Arkansas River Basin (AR, KS, NM, OK, TX)","Fishes","Region 2","Threatened","Final","Federal Register (2005-10-13)","Download","163442","30266.4 acres"
"301","Trout, bull","Salvelinus confluentus","U.S.A., coterminous, lower 48 states","Fishes","Region 1","Threatened","Final","Federal Register (2010-10-18)","Download","162004","518623.4 acres; 21428.9 miles"
"305","Smelt, delta","Hypomesus transpacificus","Wherever found","Fishes","Region 8","Threatened","Final","Federal Register (1994-12-19)","Download","162032","818614.4 acres"
"306","Goby, tidewater","Eucyclogobius newberryi","Wherever found","Fishes","Region 8","Endangered","Final","Federal Register (2013-02-06)","Download","171916","12060.9 acres"
"309","Minnow, Rio Grande Silvery","Hybognathus amarus","Wherever found, except where listed as an experimental population","Fishes","Region 2","Endangered","Final","Federal Register (2003-02-19)","Download","163365","15113.3 acres"
"311","Shiner, Topeka","Notropis topeka (=tristis)","Wherever found, except where listed as an experimental population","Fishes","Region 6","Endangered","Final","Federal Register (2004-07-27)","Download","163471","15033.6 acres"
"312","Sucker, Santa Ana","Catostomus santaanae","3 CA river basins","Fishes","Region 8","Threatened","Final","Federal Register (2010-12-14)","Download","163912","9273.0 acres"
"314","Sturgeon, white","Acipenser transmontanus","U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system","Fishes","Region 1","Endangered","Final","Federal Register (2008-07-09)","Download","161068","1631.0 acres"
"316","Darter, vermilion","Etheostoma chermocki","Wherever found","Fishes","Region 4","Endangered","Final","Federal Register (2010-12-07)","Download","201984","100.1 acres"
"318","Bean, purple","Villosa perpurpurea","Wherever found","Clams","Region 5","Endangered","Final","Federal Register (2004-08-31)","Download","80219","7398.3 acres"
"344","Rabbitsfoot, rough","Quadrula cylindrica strigillata","Wherever found","Clams","Region 5","Endangered","Final","Federal Register (2004-08-31)","Download","80069","6715.3 acres"
"353","Combshell, Cumberlandian","Epioblasma brevidens","Wherever found; Except where listed as Experimental Populations","Clams","Region 4","Endangered","Final","Federal Register (2004-08-31)","Download","80304","11565.5 acres"
"354","Elktoe, Appalachian","Alasmidonta raveneliana","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2002-09-27)","Download","79924","2738.4 acres"
"355","Elktoe, Cumberland","Alasmidonta atropurpurea","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2004-08-31)","Download","79928","1718.6 acres; 147.5 miles"
"357","Mucket, orangenacre","Hamiota perovalis","Wherever found","Clams","Region 4","Threatened","Final","Federal Register (2004-07-01)","Download","906926","11270.0 acres; 618.6 miles"
"358","Mussel, oyster","Epioblasma capsaeformis","Wherever found; Except where listed as Experimental Populations","Clams","Region 4","Endangered","Final","Federal Register (2004-08-31)","Download","80306","11565.5 acres"
"366","Bankclimber, purple (mussel)","Elliptoideus sloatianus","Wherever found","Clams","Region 4","Threatened","Final","Federal Register (2007-11-15)","Download","80298","20259.3 acres; 821.4 miles"
"370","Heelsplitter, Carolina","Lasmigona decorata","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2002-07-02)","Download","80140","941.4 acres"
"371","Pigtoe, oval","Pleurobema pyriforme","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2007-11-15)","Download","80111","17818.9 acres; 896.2 miles"
"372","Pocketbook, finelined","Hamiota altilis","Wherever found","Clams","Region 4","Threatened","Final","Federal Register (2004-07-01)","Download","906924","8506.1 acres"
"373","Pocketbook, shinyrayed","Hamiota subangulata","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2007-11-15)","Download","906927","17500.3 acres; 854.5 miles"
"375","Threeridge, fat (mussel)","Amblema neislerii","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2007-11-15)","Download","80038","15304.5 acres; 443.9 miles"
"377","Clubshell, ovate","Pleurobema perovatum","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2004-07-01)","Download","80120","12393.2 acres; 899.1 miles"
"378","Clubshell, southern","Pleurobema decisum","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2004-07-01)","Download","80097","14198.7 acres; 792.6 miles"
"379","Kidneyshell, triangular","Ptychobranchus greenii","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2004-07-01)","Download","80159","9054.1 acres; 630.1 miles"
"380","Moccasinshell, Alabama","Medionidus acutissimus","Wherever found","Clams","Region 4","Threatened","Final","Federal Register (2004-07-01)","Download","80262","10955.7 acres; 736.1 miles"
"381","Moccasinshell, Coosa","Medionidus parvulus","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2004-07-01)","Download","80265","5516.3 acres; 357.3 miles"
"382","Pigtoe, dark","Pleurobema furvum","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2004-07-01)","Download","80099","2167.3 acres; 182.3 miles"
"383","Pigtoe, southern","Pleurobema georgianum","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2004-07-01)","Download","80100","5516.3 acres; 357.3 miles"
"384","Moccasinshell, Gulf","Medionidus penicillatus","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2007-11-15)","Download","80266","16244.6 acres; 746.4 miles"
"385","Moccasinshell, Ochlockonee","Medionidus simpsonianus","Wherever found","Clams","Region 4","Endangered","Final","Federal Register (2007-11-15)","Download","80267","1169.8 acres; 90.0 miles"
"386","Slabshell, Chipola","Elliptio chipolaensis","Wherever found","Clams","Region 4","Threatened","Final","Federal Register (2007-11-15)","Download","79956","4646.5 acres; 130.0 miles"
"387","Snail, Morro shoulderband (=Banded dune)","Helminthoglypta walkeriana","Wherever found","Snails","Region 8","Threatened","Final","Federal Register (2001-02-07)","Download","77783","2557.3 acres"
"406","Cavesnail, Tumbling Creek","Antrobia culveri","Wherever found","Snails","Region 3","Endangered","Final","Federal Register (2011-06-28)","Download","70671","37.3 acres"
"418","Snail, Newcomb's","Erinna newcombi","Wherever found","Snails","Region 1","Threatened","Final","Federal Register (2002-08-20)","Download","1132477","4462.0 acres"
"419","Butterfly, El Segundo blue","Euphilotes battoides allyni","Wherever found","Insects","Region 8","Endangered","Proposed","Federal Register (1977-02-08)","","117240",""
"420","Butterfly, Karner blue","Lycaeides melissa samuelis","Wherever found","Insects","Region 3","Endangered","Proposed","Federal Register (1978-07-03)","","779691",""
"421","Butterfly, Lange's metalmark","Apodemia mormo langei","Wherever found","Insects","Region 8","Endangered","Proposed","Federal Register (1977-02-08)","","201270",""
"422","Butterfly, lotis blue","Lycaeides argyrognomon lotis","Wherever found","Insects","Region 8","Endangered","Proposed","Federal Register (1977-02-08)","","117257",""
"423","Butterfly, mission blue","Icaricia icarioides missionensis","Wherever found","Insects","Region 8","Endangered","Proposed","Federal Register (1977-02-08)","","117247",""
"426","Butterfly, Quino checkerspot","Euphydryas editha quino (=E. e. wrighti)","Wherever found","Insects","Region 8","Endangered","Final","Federal Register (2009-06-17)","Download","779299","61973.8 acres"
"427","Butterfly, San Bruno elfin","Callophrys mossii bayensis","Wherever found","Insects","Region 8","Endangered","Proposed","Federal Register (1977-02-08)","","201263",""
